,datetime,machineID,volt,rotate,pressure,vibration,model,age,anomaly,anomaly_final,date,time,volt_round,rotate_round,pressure_round,vibration_round,rotate_rate_change,rotate_rate_change_type,rotate_rate_change_abs,rotate_lag1,rotate_rate_change_lag1,rotate_rate_change_type_lag1,rotate_rate_change_abs_lag1,volt_rate_change,volt_rate_change_type,volt_rate_change_abs,volt_lag1,volt_rate_change_lag1,volt_rate_change_type_lag1,volt_rate_change_abs_lag1,pressure_rate_change,pressure_rate_change_type,pressure_rate_change_abs,pressure_lag1,pressure_rate_change_lag1,pressure_rate_change_type_lag1,pressure_rate_change_abs_lag1,vibration_rate_change,vibration_rate_change_type,vibration_rate_change_abs,vibration_lag1,vibration_rate_change_lag1,vibration_rate_change_type_lag1,vibration_rate_change_abs_lag1,machineID_lag1,model_lag1,age_lag1,description,description_absolute,description_lag1,description_absolute_lag1,failure_comp1,failure_comp2,failure_comp3,failure_comp4,maint_comp1,maint_comp2,maint_comp3,maint_comp4,error1,error2,error3,error4,error5,failure,maint,error,failure_ID
457,2015-03-11 06:00:00,32,186.183847016695,408.164942518954,100.476824380455,44.6020787991255,model4,15,True,There are some anomalies,2015-03-11,06:00:00,186.183847,408.164943,100.476824,44.602079,0.039599147061978715,increase,3.9599,392.617619658955,-0.04151682697077576,decrease,4.1517,-0.09177668262674202,decrease,9.1777,204.997871619473,0.011580762522338247,increase,1.1581,-0.048346208028544196,decrease,4.8346,105.581278851741,0.11049231604606906,increase,11.0492,0.29661987890010005,increase,29.662,34.3987312896673,-0.2394780183128308,decrease,23.9478,32.0,model4,15.0,"At at the time 06:00:00 in 2015-03-11, the machine which has machine ID 32 and model ID model4 and 15 age , has hourly average voltage decrease about 9.1777 percent  and hourly average rotation increase about 3.9599 percent  and hourly average pressure decrease about 4.8346 percent  and hourly average vibration increase about 29.662 percent .","At the time 06:00:00 in 2015-03-11, the machine which has machine ID 32 and model ID model4 and 15 age , has hourly average voltage 186.183847 and hourly average rotation 408.164943 and hourly average pressure 100.476824 and hourly average vibration 44.602079 .","At at the time 05:00:00 in 2015-03-11, the machine which has machine ID 32 and model ID model4 and 15 age , has hourly average voltage increase about 1.1581 percent  and hourly average rotation decrease about 4.1517 percent  and hourly average pressure increase about 11.0492 percent  and hourly average vibration decrease about 23.9478 percent .","At the time 05:00:00 in 2015-03-11, the machine which has machine ID 32 and model ID model4 and 15 age , has hourly average voltage 204.997872 and hourly average rotation 392.61762 and hourly average pressure 105.581279 and hourly average vibration 34.398731 .",1,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,1
1073,2015-03-11 16:00:00,74,176.243202349167,335.815585543441,119.735020886825,40.5760592694218,model4,4,False,There is no anomaly,2015-03-11,16:00:00,176.243202,335.815586,119.735021,40.576059,-0.3485927276053685,decrease,34.8593,515.523236805375,-0.09142615832501692,decrease,9.1426,0.07860596635209142,increase,7.8606,163.399061239418,-0.06259454664940452,decrease,6.2595,0.013422354553099218,increase,1.3422,118.1491806934,-0.08055402334763022,decrease,8.0554,-0.05792839579446847,decrease,5.7928,43.0710989358823,-0.0014172614126328476,decrease,0.1417,74.0,model4,4.0,"At at the time 16:00:00 in 2015-03-11, the machine which has machine ID 74 and model ID model4 and 4 age , has hourly average voltage increase about 7.8606 percent  and hourly average rotation decrease about 34.8593 percent  and hourly average pressure increase about 1.3422 percent  and hourly average vibration decrease about 5.7928 percent .","At the time 16:00:00 in 2015-03-11, the machine which has machine ID 74 and model ID model4 and 4 age , has hourly average voltage 176.243202 and hourly average rotation 335.815586 and hourly average pressure 119.735021 and hourly average vibration 40.576059 .","At at the time 15:00:00 in 2015-03-11, the machine which has machine ID 74 and model ID model4 and 4 age , has hourly average voltage decrease about 6.2595 percent  and hourly average rotation decrease about 9.1426 percent  and hourly average pressure decrease about 8.0554 percent  and hourly average vibration decrease about 0.1417 percent .","At the time 15:00:00 in 2015-03-11, the machine which has machine ID 74 and model ID model4 and 4 age , has hourly average voltage 163.399061 and hourly average rotation 515.523237 and hourly average pressure 118.149181 and hourly average vibration 43.071099 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
1025,2015-03-12 06:00:00,71,158.724284942291,374.150800171694,116.625250949137,35.5365290332956,model2,18,True,There are some anomalies,2015-03-12,06:00:00,158.724285,374.1508,116.625251,35.536529,-0.1298575139085532,decrease,12.9858,429.98796881224,-0.07531645800048305,decrease,7.5316,0.022217440432343156,increase,2.2217,155.27448335763,-0.21699162982958678,decrease,21.6992,-0.07944896459687523,decrease,7.9449,126.690695533317,-0.06757870769437721,decrease,6.7579,-0.17685510107621566,decrease,17.6855,43.1716567517549,0.3497816021198763,increase,34.9782,71.0,model2,18.0,"At at the time 06:00:00 in 2015-03-12, the machine which has machine ID 71 and model ID model2 and 18 age , has hourly average voltage increase about 2.2217 percent  and hourly average rotation decrease about 12.9858 percent  and hourly average pressure decrease about 7.9449 percent  and hourly average vibration decrease about 17.6855 percent .","At the time 06:00:00 in 2015-03-12, the machine which has machine ID 71 and model ID model2 and 18 age , has hourly average voltage 158.724285 and hourly average rotation 374.1508 and hourly average pressure 116.625251 and hourly average vibration 35.536529 .","At at the time 05:00:00 in 2015-03-12, the machine which has machine ID 71 and model ID model2 and 18 age , has hourly average voltage decrease about 21.6992 percent  and hourly average rotation decrease about 7.5316 percent  and hourly average pressure decrease about 6.7579 percent  and hourly average vibration increase about 34.9782 percent .","At the time 05:00:00 in 2015-03-12, the machine which has machine ID 71 and model ID model2 and 18 age , has hourly average voltage 155.274483 and hourly average rotation 429.987969 and hourly average pressure 126.690696 and hourly average vibration 43.171657 .",0,0,1,0,0,0,1,0,0,0,0,0,0,True,True,False,1
688,2015-03-12 06:00:00,48,185.843958267942,366.189553022779,140.109501291194,42.7922117613734,model4,10,True,There are some anomalies,2015-03-12,06:00:00,185.843958,366.189553,140.109501,42.792212,-0.21923947688450537,decrease,21.9239,469.016480958285,0.5927555093432678,increase,59.2756,-0.08842418362477847,decrease,8.8424,203.871093253581,0.10790865920104445,increase,10.7909,0.13195269117849992,increase,13.1953,123.776817161257,0.03865374415753578,increase,3.8654,0.30589283751220114,increase,30.5893,32.7685477185823,-0.13227723894239946,decrease,13.2277,48.0,model4,10.0,"At at the time 06:00:00 in 2015-03-12, the machine which has machine ID 48 and model ID model4 and 10 age , has hourly average voltage decrease about 8.8424 percent  and hourly average rotation decrease about 21.9239 percent  and hourly average pressure increase about 13.1953 percent  and hourly average vibration increase about 30.5893 percent .","At the time 06:00:00 in 2015-03-12, the machine which has machine ID 48 and model ID model4 and 10 age , has hourly average voltage 185.843958 and hourly average rotation 366.189553 and hourly average pressure 140.109501 and hourly average vibration 42.792212 .","At at the time 05:00:00 in 2015-03-12, the machine which has machine ID 48 and model ID model4 and 10 age , has hourly average voltage increase about 10.7909 percent  and hourly average rotation increase about 59.2756 percent  and hourly average pressure increase about 3.8654 percent  and hourly average vibration decrease about 13.2277 percent .","At the time 05:00:00 in 2015-03-12, the machine which has machine ID 48 and model ID model4 and 10 age , has hourly average voltage 203.871093 and hourly average rotation 469.016481 and hourly average pressure 123.776817 and hourly average vibration 32.768548 .",1,0,0,0,1,0,0,0,0,0,0,0,0,True,True,False,1
1274,2015-03-13 06:00:00,87,167.732834451193,413.745816796319,140.686147051015,46.7790486390471,model2,12,True,There are some anomalies,2015-03-13,06:00:00,167.732834,413.745817,140.686147,46.779049,-0.12693095953114633,decrease,12.6931,473.898165687023,0.07772468082865007,increase,7.7725,-0.04743027524943289,decrease,4.743,176.084574276297,0.08835370974090191,increase,8.8354,0.05836745855530432,increase,5.8367,132.927506334194,0.04245095146474153,increase,4.2451,0.011510602238355502,increase,1.1511,46.2467210284603,0.11655290927624927,increase,11.6553,87.0,model2,12.0,"At at the time 06:00:00 in 2015-03-13, the machine which has machine ID 87 and model ID model2 and 12 age , has hourly average voltage decrease about 4.743 percent  and hourly average rotation decrease about 12.6931 percent  and hourly average pressure increase about 5.8367 percent  and hourly average vibration increase about 1.1511 percent .","At the time 06:00:00 in 2015-03-13, the machine which has machine ID 87 and model ID model2 and 12 age , has hourly average voltage 167.732834 and hourly average rotation 413.745817 and hourly average pressure 140.686147 and hourly average vibration 46.779049 .","At at the time 05:00:00 in 2015-03-13, the machine which has machine ID 87 and model ID model2 and 12 age , has hourly average voltage increase about 8.8354 percent  and hourly average rotation increase about 7.7725 percent  and hourly average pressure increase about 4.2451 percent  and hourly average vibration increase about 11.6553 percent .","At the time 05:00:00 in 2015-03-13, the machine which has machine ID 87 and model ID model2 and 12 age , has hourly average voltage 176.084574 and hourly average rotation 473.898166 and hourly average pressure 132.927506 and hourly average vibration 46.246721 .",0,0,1,0,0,0,1,1,0,0,0,0,0,True,True,False,1
965,2015-03-13 10:00:00,67,183.337839954226,418.918497351028,110.181800805014,30.9250070568398,model4,14,False,There is no anomaly,2015-03-13,10:00:00,183.33784,418.918497,110.181801,30.925007,0.5007988002810208,increase,50.0799,279.130351964958,-0.27525035559725863,decrease,27.525,0.1022717610768999,increase,10.2272,166.32725832975,-0.02646770069553087,decrease,2.6468,0.17187592592104978,increase,17.1876,94.0217290652296,-0.13181591594203598,decrease,13.1816,-0.18752480819701667,decrease,18.7525,38.0627093218851,0.16431203008391843,increase,16.4312,67.0,model4,14.0,"At at the time 10:00:00 in 2015-03-13, the machine which has machine ID 67 and model ID model4 and 14 age , has hourly average voltage increase about 10.2272 percent  and hourly average rotation increase about 50.0799 percent  and hourly average pressure increase about 17.1876 percent  and hourly average vibration decrease about 18.7525 percent .","At the time 10:00:00 in 2015-03-13, the machine which has machine ID 67 and model ID model4 and 14 age , has hourly average voltage 183.33784 and hourly average rotation 418.918497 and hourly average pressure 110.181801 and hourly average vibration 30.925007 .","At at the time 09:00:00 in 2015-03-13, the machine which has machine ID 67 and model ID model4 and 14 age , has hourly average voltage decrease about 2.6468 percent  and hourly average rotation decrease about 27.525 percent  and hourly average pressure decrease about 13.1816 percent  and hourly average vibration increase about 16.4312 percent .","At the time 09:00:00 in 2015-03-13, the machine which has machine ID 67 and model ID model4 and 14 age , has hourly average voltage 166.327258 and hourly average rotation 279.130352 and hourly average pressure 94.021729 and hourly average vibration 38.062709 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
1026,2015-03-13 11:00:00,71,168.418399260057,485.117441906894,100.558987182439,37.6593328673493,model2,18,False,There is no anomaly,2015-03-13,11:00:00,168.418399,485.117442,100.558987,37.659333,0.052345400596722845,increase,5.2345,460.986898058197,-0.04783470730120121,decrease,4.7835,0.00791458911163234,increase,0.7915,167.095903838935,0.0590238387150147,increase,5.9024,-0.03983635157655236,decrease,3.9836,104.7310917754,-0.11833358203770115,decrease,11.8334,-0.13843125310551463,decrease,13.8431,43.710189120824,0.15249355965990954,increase,15.2494,71.0,model2,18.0,"At at the time 11:00:00 in 2015-03-13, the machine which has machine ID 71 and model ID model2 and 18 age , has hourly average voltage increase about 0.7915 percent  and hourly average rotation increase about 5.2345 percent  and hourly average pressure decrease about 3.9836 percent  and hourly average vibration decrease about 13.8431 percent .","At the time 11:00:00 in 2015-03-13, the machine which has machine ID 71 and model ID model2 and 18 age , has hourly average voltage 168.418399 and hourly average rotation 485.117442 and hourly average pressure 100.558987 and hourly average vibration 37.659333 .","At at the time 10:00:00 in 2015-03-13, the machine which has machine ID 71 and model ID model2 and 18 age , has hourly average voltage increase about 5.9024 percent  and hourly average rotation decrease about 4.7835 percent  and hourly average pressure decrease about 11.8334 percent  and hourly average vibration increase about 15.2494 percent .","At the time 10:00:00 in 2015-03-13, the machine which has machine ID 71 and model ID model2 and 18 age , has hourly average voltage 167.095904 and hourly average rotation 460.986898 and hourly average pressure 104.731092 and hourly average vibration 43.710189 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
904,2015-03-14 06:00:00,63,177.503801379443,415.428666417309,92.448286427307,36.381773065047,model4,14,True,There are some anomalies,2015-03-14,06:00:00,177.503801,415.428666,92.448286,36.381773,0.02887783534364376,increase,2.8878,403.768700371076,-0.18377404794896535,decrease,18.3774,0.03243321574304183,increase,3.2433,171.927635291832,-0.15319765177322248,decrease,15.3198,-0.11927002117622985,decrease,11.927,104.967797906429,0.12521637029791122,increase,12.5216,-0.27719418655388284,decrease,27.7194,50.3340902746615,-0.05326657862602685,decrease,5.3267,63.0,model4,14.0,"At at the time 06:00:00 in 2015-03-14, the machine which has machine ID 63 and model ID model4 and 14 age , has hourly average voltage increase about 3.2433 percent  and hourly average rotation increase about 2.8878 percent  and hourly average pressure decrease about 11.927 percent  and hourly average vibration decrease about 27.7194 percent .","At the time 06:00:00 in 2015-03-14, the machine which has machine ID 63 and model ID model4 and 14 age , has hourly average voltage 177.503801 and hourly average rotation 415.428666 and hourly average pressure 92.448286 and hourly average vibration 36.381773 .","At at the time 05:00:00 in 2015-03-14, the machine which has machine ID 63 and model ID model4 and 14 age , has hourly average voltage decrease about 15.3198 percent  and hourly average rotation decrease about 18.3774 percent  and hourly average pressure increase about 12.5216 percent  and hourly average vibration decrease about 5.3267 percent .","At the time 05:00:00 in 2015-03-14, the machine which has machine ID 63 and model ID model4 and 14 age , has hourly average voltage 171.927635 and hourly average rotation 403.7687 and hourly average pressure 104.967798 and hourly average vibration 50.33409 .",0,0,0,1,0,0,0,1,0,0,0,0,0,True,True,False,1
438,2015-03-14 08:00:00,31,159.344678814312,486.525409490485,113.768847462389,39.3448789060851,model1,11,False,There is no anomaly,2015-03-14,08:00:00,159.344679,486.525409,113.768847,39.344879,0.07948432630377358,increase,7.9484,450.701689348636,-0.10755715951866691,decrease,10.7557,-0.06322454735155231,decrease,6.3225,170.099118592202,0.11328437443405649,increase,11.3284,0.27643598837842215,increase,27.6436,89.1300844681764,-0.08576207739479515,decrease,8.5762,-0.006633324713050083,decrease,0.6633,39.6076090379413,-0.1528099764241993,decrease,15.281,31.0,model1,11.0,"At at the time 08:00:00 in 2015-03-14, the machine which has machine ID 31 and model ID model1 and 11 age , has hourly average voltage decrease about 6.3225 percent  and hourly average rotation increase about 7.9484 percent  and hourly average pressure increase about 27.6436 percent  and hourly average vibration decrease about 0.6633 percent .","At the time 08:00:00 in 2015-03-14, the machine which has machine ID 31 and model ID model1 and 11 age , has hourly average voltage 159.344679 and hourly average rotation 486.525409 and hourly average pressure 113.768847 and hourly average vibration 39.344879 .","At at the time 07:00:00 in 2015-03-14, the machine which has machine ID 31 and model ID model1 and 11 age , has hourly average voltage increase about 11.3284 percent  and hourly average rotation decrease about 10.7557 percent  and hourly average pressure decrease about 8.5762 percent  and hourly average vibration decrease about 15.281 percent .","At the time 07:00:00 in 2015-03-14, the machine which has machine ID 31 and model ID model1 and 11 age , has hourly average voltage 170.099119 and hourly average rotation 450.701689 and hourly average pressure 89.130084 and hourly average vibration 39.607609 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
832,2015-03-14 08:00:00,58,194.58895881156,436.479139273757,122.377009901118,42.0087465963631,model1,5,False,There is no anomaly,2015-03-14,08:00:00,194.588959,436.479139,122.37701,42.008747,0.13061549799951888,increase,13.0615,386.054445606001,-0.09988823281367555,decrease,9.9888,0.1783268477690078,increase,17.8327,165.14005361075,-0.04843329673342111,decrease,4.8433,0.027088154647542533,increase,2.7088,119.149470614928,0.37693326256999854,increase,37.6933,-0.011776390921695206,decrease,1.1776,42.5093533593513,0.06135703228076615,increase,6.1357,58.0,model1,5.0,"At at the time 08:00:00 in 2015-03-14, the machine which has machine ID 58 and model ID model1 and 5 age , has hourly average voltage increase about 17.8327 percent  and hourly average rotation increase about 13.0615 percent  and hourly average pressure increase about 2.7088 percent  and hourly average vibration decrease about 1.1776 percent .","At the time 08:00:00 in 2015-03-14, the machine which has machine ID 58 and model ID model1 and 5 age , has hourly average voltage 194.588959 and hourly average rotation 436.479139 and hourly average pressure 122.37701 and hourly average vibration 42.008747 .","At at the time 07:00:00 in 2015-03-14, the machine which has machine ID 58 and model ID model1 and 5 age , has hourly average voltage decrease about 4.8433 percent  and hourly average rotation decrease about 9.9888 percent  and hourly average pressure increase about 37.6933 percent  and hourly average vibration increase about 6.1357 percent .","At the time 07:00:00 in 2015-03-14, the machine which has machine ID 58 and model ID model1 and 5 age , has hourly average voltage 165.140054 and hourly average rotation 386.054446 and hourly average pressure 119.149471 and hourly average vibration 42.509353 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
3,2015-03-14 13:00:00,1,190.251741753856,482.055416875831,110.992964698248,47.8813712711899,model3,18,False,There is no anomaly,2015-03-14,13:00:00,190.251742,482.055417,110.992965,47.881371,-0.08144735932762932,decrease,8.1447,524.798901588233,0.3431203734144486,increase,34.312,0.10133689635088813,increase,10.1337,172.746180014695,-0.03754981613580294,decrease,3.755,0.10092809311473608,increase,10.0928,100.817633224553,-0.043308757234249776,decrease,4.3309,0.6615686316368702,increase,66.1569,28.8169687122826,-0.3388696734642025,decrease,33.887,1.0,model3,18.0,"At at the time 13:00:00 in 2015-03-14, the machine which has machine ID 1 and model ID model3 and 18 age , has hourly average voltage increase about 10.1337 percent  and hourly average rotation decrease about 8.1447 percent  and hourly average pressure increase about 10.0928 percent  and hourly average vibration increase about 66.1569 percent .","At the time 13:00:00 in 2015-03-14, the machine which has machine ID 1 and model ID model3 and 18 age , has hourly average voltage 190.251742 and hourly average rotation 482.055417 and hourly average pressure 110.992965 and hourly average vibration 47.881371 .","At at the time 12:00:00 in 2015-03-14, the machine which has machine ID 1 and model ID model3 and 18 age , has hourly average voltage decrease about 3.755 percent  and hourly average rotation increase about 34.312 percent  and hourly average pressure decrease about 4.3309 percent  and hourly average vibration decrease about 33.887 percent .","At the time 12:00:00 in 2015-03-14, the machine which has machine ID 1 and model ID model3 and 18 age , has hourly average voltage 172.74618 and hourly average rotation 524.798902 and hourly average pressure 100.817633 and hourly average vibration 28.816969 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
231,2015-03-14 20:00:00,17,162.112261777621,430.940611982046,102.197989012566,43.0692537964354,model1,14,False,There is no anomaly,2015-03-14,20:00:00,162.112262,430.940612,102.197989,43.069254,-0.006605935549158017,decrease,0.6606,433.806308496794,0.14691417402664958,increase,14.6914,0.05237894972991726,increase,5.2379,154.04361881167,-0.08992849706524597,decrease,8.9928,-0.04035311688858222,decrease,4.0353,106.495410771527,0.012991490731945958,increase,1.2991,0.4195305567923997,increase,41.9531,30.3404907984197,-0.3303400140729396,decrease,33.034,17.0,model1,14.0,"At at the time 20:00:00 in 2015-03-14, the machine which has machine ID 17 and model ID model1 and 14 age , has hourly average voltage increase about 5.2379 percent  and hourly average rotation decrease about 0.6606 percent  and hourly average pressure decrease about 4.0353 percent  and hourly average vibration increase about 41.9531 percent .","At the time 20:00:00 in 2015-03-14, the machine which has machine ID 17 and model ID model1 and 14 age , has hourly average voltage 162.112262 and hourly average rotation 430.940612 and hourly average pressure 102.197989 and hourly average vibration 43.069254 .","At at the time 19:00:00 in 2015-03-14, the machine which has machine ID 17 and model ID model1 and 14 age , has hourly average voltage decrease about 8.9928 percent  and hourly average rotation increase about 14.6914 percent  and hourly average pressure increase about 1.2991 percent  and hourly average vibration decrease about 33.034 percent .","At the time 19:00:00 in 2015-03-14, the machine which has machine ID 17 and model ID model1 and 14 age , has hourly average voltage 154.043619 and hourly average rotation 433.806308 and hourly average pressure 106.495411 and hourly average vibration 30.340491 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
106,2015-03-14 22:00:00,9,150.820261239033,511.908179389151,108.013848340943,39.5968548358964,model4,7,False,There is no anomaly,2015-03-14,22:00:00,150.820261,511.908179,108.013848,39.596855,0.13254861273812488,increase,13.2549,451.996650414438,0.17127504767116533,increase,17.1275,-0.2194706913986867,decrease,21.9471,193.228184485857,0.16337370285024383,increase,16.3374,0.36655568021417073,increase,36.6556,79.0409420595396,-0.19965964939665573,decrease,19.966,0.08585866556615979,increase,8.5859,36.4659380558066,-0.11206675944277276,decrease,11.2067,9.0,model4,7.0,"At at the time 22:00:00 in 2015-03-14, the machine which has machine ID 9 and model ID model4 and 7 age , has hourly average voltage decrease about 21.9471 percent  and hourly average rotation increase about 13.2549 percent  and hourly average pressure increase about 36.6556 percent  and hourly average vibration increase about 8.5859 percent .","At the time 22:00:00 in 2015-03-14, the machine which has machine ID 9 and model ID model4 and 7 age , has hourly average voltage 150.820261 and hourly average rotation 511.908179 and hourly average pressure 108.013848 and hourly average vibration 39.596855 .","At at the time 21:00:00 in 2015-03-14, the machine which has machine ID 9 and model ID model4 and 7 age , has hourly average voltage increase about 16.3374 percent  and hourly average rotation increase about 17.1275 percent  and hourly average pressure decrease about 19.966 percent  and hourly average vibration decrease about 11.2067 percent .","At the time 21:00:00 in 2015-03-14, the machine which has machine ID 9 and model ID model4 and 7 age , has hourly average voltage 193.228184 and hourly average rotation 451.99665 and hourly average pressure 79.040942 and hourly average vibration 36.465938 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
805,2015-03-15 06:00:00,56,189.684113954922,505.348542589402,128.79059966917,37.0709095605502,model1,10,True,There are some anomalies,2015-03-15,06:00:00,189.684114,505.348543,128.7906,37.07091,0.02698298354166766,increase,2.6983,492.070998924101,0.01592478557727155,increase,1.5925,0.07284293039639184,increase,7.2843,176.805111522558,0.11828444773390631,increase,11.8284,0.05970797962551403,increase,5.9708,121.534047252039,0.13589709602831132,increase,13.5897,-0.08348259195584587,decrease,8.3483,40.4475782294844,-0.07115026026939576,decrease,7.115,56.0,model1,10.0,"At at the time 06:00:00 in 2015-03-15, the machine which has machine ID 56 and model ID model1 and 10 age , has hourly average voltage increase about 7.2843 percent  and hourly average rotation increase about 2.6983 percent  and hourly average pressure increase about 5.9708 percent  and hourly average vibration decrease about 8.3483 percent .","At the time 06:00:00 in 2015-03-15, the machine which has machine ID 56 and model ID model1 and 10 age , has hourly average voltage 189.684114 and hourly average rotation 505.348543 and hourly average pressure 128.7906 and hourly average vibration 37.07091 .","At at the time 05:00:00 in 2015-03-15, the machine which has machine ID 56 and model ID model1 and 10 age , has hourly average voltage increase about 11.8284 percent  and hourly average rotation increase about 1.5925 percent  and hourly average pressure increase about 13.5897 percent  and hourly average vibration decrease about 7.115 percent .","At the time 05:00:00 in 2015-03-15, the machine which has machine ID 56 and model ID model1 and 10 age , has hourly average voltage 176.805112 and hourly average rotation 492.070999 and hourly average pressure 121.534047 and hourly average vibration 40.447578 .",0,0,1,0,0,0,1,0,0,0,0,0,0,True,True,False,1
1246,2015-03-15 14:00:00,85,157.036159361383,486.734909257012,100.486784844653,38.1029905655173,model1,16,False,There is no anomaly,2015-03-15,14:00:00,157.036159,486.734909,100.486785,38.102991,-0.07303693585083251,decrease,7.3037,525.085548800989,0.2647861817097125,increase,26.4786,-0.05126971045801367,decrease,5.127,165.522447309229,-0.0969483714485343,decrease,9.6948,-0.009377171393948613,decrease,0.9377,101.437986227364,-0.023753437831824768,decrease,2.3753,-0.10724425810717113,decrease,10.7244,42.680196584041,0.10979803723518453,increase,10.9798,85.0,model1,16.0,"At at the time 14:00:00 in 2015-03-15, the machine which has machine ID 85 and model ID model1 and 16 age , has hourly average voltage decrease about 5.127 percent  and hourly average rotation decrease about 7.3037 percent  and hourly average pressure decrease about 0.9377 percent  and hourly average vibration decrease about 10.7244 percent .","At the time 14:00:00 in 2015-03-15, the machine which has machine ID 85 and model ID model1 and 16 age , has hourly average voltage 157.036159 and hourly average rotation 486.734909 and hourly average pressure 100.486785 and hourly average vibration 38.102991 .","At at the time 13:00:00 in 2015-03-15, the machine which has machine ID 85 and model ID model1 and 16 age , has hourly average voltage decrease about 9.6948 percent  and hourly average rotation increase about 26.4786 percent  and hourly average pressure decrease about 2.3753 percent  and hourly average vibration increase about 10.9798 percent .","At the time 13:00:00 in 2015-03-15, the machine which has machine ID 85 and model ID model1 and 16 age , has hourly average voltage 165.522447 and hourly average rotation 525.085549 and hourly average pressure 101.437986 and hourly average vibration 42.680197 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
860,2015-03-15 23:00:00,60,192.935699613519,399.719913645347,108.43347376094,35.0964406573189,model4,3,False,There is no anomaly,2015-03-15,23:00:00,192.9357,399.719914,108.433474,35.096441,-0.11079022115270368,decrease,11.079,449.52262464265,-0.1698022742006619,decrease,16.9802,0.1630849844426077,increase,16.3085,165.882718970859,0.032833116487044116,increase,3.2833,0.2394786120616752,increase,23.9479,87.4831342031616,-0.1456714060074981,decrease,14.5671,-0.06963099144360192,decrease,6.9631,37.7231403180294,-0.04604257448887069,decrease,4.6043,60.0,model4,3.0,"At at the time 23:00:00 in 2015-03-15, the machine which has machine ID 60 and model ID model4 and 3 age , has hourly average voltage increase about 16.3085 percent  and hourly average rotation decrease about 11.079 percent  and hourly average pressure increase about 23.9479 percent  and hourly average vibration decrease about 6.9631 percent .","At the time 23:00:00 in 2015-03-15, the machine which has machine ID 60 and model ID model4 and 3 age , has hourly average voltage 192.9357 and hourly average rotation 399.719914 and hourly average pressure 108.433474 and hourly average vibration 35.096441 .","At at the time 22:00:00 in 2015-03-15, the machine which has machine ID 60 and model ID model4 and 3 age , has hourly average voltage increase about 3.2833 percent  and hourly average rotation decrease about 16.9802 percent  and hourly average pressure decrease about 14.5671 percent  and hourly average vibration decrease about 4.6043 percent .","At the time 22:00:00 in 2015-03-15, the machine which has machine ID 60 and model ID model4 and 3 age , has hourly average voltage 165.882719 and hourly average rotation 449.522625 and hourly average pressure 87.483134 and hourly average vibration 37.72314 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
533,2015-03-16 02:00:00,37,161.313291590538,406.373858720434,99.9732370492094,38.2592372025904,model1,16,False,There is no anomaly,2015-03-16,02:00:00,161.313292,406.373859,99.973237,38.259237,-0.1744987270155374,decrease,17.4499,492.27526597416,-0.046853447710091936,decrease,4.6853,-0.15694537373745224,decrease,15.6945,191.343818734115,0.23113625982173402,increase,23.1136,0.14577927310165173,increase,14.5779,87.2534871211097,-0.09324297057456074,decrease,9.3243,-0.00476573810865695,decrease,0.4766,38.4424438221033,0.10739096626606023,increase,10.7391,37.0,model1,16.0,"At at the time 02:00:00 in 2015-03-16, the machine which has machine ID 37 and model ID model1 and 16 age , has hourly average voltage decrease about 15.6945 percent  and hourly average rotation decrease about 17.4499 percent  and hourly average pressure increase about 14.5779 percent  and hourly average vibration decrease about 0.4766 percent .","At the time 02:00:00 in 2015-03-16, the machine which has machine ID 37 and model ID model1 and 16 age , has hourly average voltage 161.313292 and hourly average rotation 406.373859 and hourly average pressure 99.973237 and hourly average vibration 38.259237 .","At at the time 01:00:00 in 2015-03-16, the machine which has machine ID 37 and model ID model1 and 16 age , has hourly average voltage increase about 23.1136 percent  and hourly average rotation decrease about 4.6853 percent  and hourly average pressure decrease about 9.3243 percent  and hourly average vibration increase about 10.7391 percent .","At the time 01:00:00 in 2015-03-16, the machine which has machine ID 37 and model ID model1 and 16 age , has hourly average voltage 191.343819 and hourly average rotation 492.275266 and hourly average pressure 87.253487 and hourly average vibration 38.442444 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
